id,tiempo_inicio,tiempo_fin,tipo,archivo_imagen,imagen,texto,lado,ancho_max,alto_max,tamano_fuente,que_es,notas_edicion
name,0:05.50,0:07.45,etiqueta,,,Dra. Angélica,gancho,,,72,Nombre en el cielo,"Mi nombre, Dra. Angélica, arriba en el cielo cuando me presento. Sin foto: solo el texto, no abajo ni en el pecho."
specialty,0:07.50,0:11.40,etiqueta,,,Medicina Familiar,gancho,,,66,Especialidad,"Medicina Familiar, mismo lugar arriba, enseguida del nombre, cuando digo la especialidad. También sin foto."
pregunta,0:22.80,0:26.20,sticker,pregunta.png,,,derecha,400,340,,Signo de pregunta,"El signo de pregunta, a la derecha de mi cabeza (nunca encima del gorro). Sale cuando digo que concertamos una cita en su casa. Tamaño mediano."
frutero_alto,0:28.00,0:36.00,sticker,frutero_alto.png,,,derecha,480,340,,Frutero con frutas altas en azúcar,"El frutero grande con mango, plátano y uvas — frutas con muchísimo azúcar. A la derecha, cuando llego a la cocina. Tamaño grande. El susto entra después en otra fila y se ve junto con este; no lo quites."
susto_frutero,0:32.00,0:36.00,sticker,susto.png,,,izquierda,400,340,,Cara de susto junto al frutero,"La carita de susto se SUMA a la izquierda, a la misma altura que el frutero. Entra un poco después. Van las dos juntas. Tamaño mediano."
dulces,0:37.50,0:45.00,sticker,dulces.png,,,derecha,460,320,,Alacena / dulces,"La alacena con galletas, chocolates y dulces. A la derecha, cuando hablo de la alacena. Tamaño grande. El susto otra vez en la fila de abajo."
susto_dulces,0:39.50,0:45.00,sticker,susto.png,,,izquierda,400,340,,Cara de susto junto a los dulces,"Otra vez el susto, a la izquierda. Se suma a los dulces; no quita la alacena. Tamaño mediano."
idea,0:50.80,0:56.80,sticker,idea.png,,,derecha,400,340,,Bombillo / idea,"El bombillo de la idea, a la derecha, cuando digo que ese era el punto de por qué se le subía el azúcar. Tamaño mediano."
frutero_bajo,0:59.00,1:06.20,sticker,frutero_bajo.png,,,derecha,480,340,,Frutas con menos azúcar,"El pacto: frutas con menos azúcar. Este frutero va a la derecha. Tamaño grande. Aquí no va cara de susto — es lo bueno que acordamos."
sin_azucar,1:03.50,1:06.20,sticker,sin_azucar.png,,,izquierda,420,280,,Dulces sin azúcar,"Dulces sin azúcar, a la izquierda, junto al frutero del pacto. Se suman las dos. Tampoco lleva susto. Tamaño mediano."
enfoque,1:20.00,1:26.20,enfoque,,,,gancho,,,,ENFOQUE INTEGRAL Bio-Psico-Social,"ENFOQUE INTEGRAL (bio-psico-social) arriba en el cielo, cuando explico el enfoque social y familiar. Sin foto, se escribe solo. Debajo del recorte de Instagram. La tarjeta de WhatsApp del final no va en esta tabla: sale sola."
